"","x"
"1","X100"
"2","allrecycled"
"3","back"
"4","blend"
"5","can"
"6","comfort"
"7","common"
"8","cotton"
"9","dry"
"10","durable"
"11","dwr"
"12","fabric"
"13","finish"
"14","fit"
"15","front"
"16","lightweight"
"17","made"
"18","nylon"
"19","one"
"20","organic"
"21","ozbrbrmade"
"22","pocket"
"23","pockets"
"24","polyester"
"25","programbrbrbdetailsbul"
"26","programbrbrbweight"
"27","provides"
"28","recyclable"
"29","recycled"
"30","recycling"
"31","repellent"
"32","seams"
"33","shoulder"
"34","soft"
"35","spandex"
"36","thailand"
"37","threads"
"38","two"
"39","usa"
"40","vietnam"
"41","water"
"42","zippered"
